,xbar,std
BD,0.245057807969809,0.194964420018704
BE,0.236582826482019,0.197977163597086
BN,0.249154939008592,0.188468536028733
BS,0.249416907560836,0.188179130981403
BW,0.223287488110403,0.213051848392368
CB,0.23289831078064,0.196129323199029
CM,0.248817863733052,0.189893524616084
GM,0.248700538687195,0.189339693160978
JE,0.238727102528135,0.200020173819787
JP,0.245864529860048,0.190353576402
JS,0.239795710954218,0.202127762513613
JW,0.249513097639862,0.188731325150458
KM,0.240531698223398,0.193406803974603
KN,0.246565413213539,0.191030407401055
KS,0.242267226682353,0.216904708597435
