,label,strata.1,strata.2,n.1,n.2,CHIsq,CHIsq_p.val,Ho,Ho_p.val,Hs,Hs_p.val,Ht,Ht_p.val,Ht_prime,Ht_prime_p.val,Dst,Dst_p.val,Dst_prime,Dst_prime_p.val,Fst,Fst_p.val,Fst_prime,Fst_prime_p.val,Fis,Fis_p.val,Gst_prime,Gst_prime_p.val,Gst_dbl_prime,Gst_dbl_prime_p.val,Dest,Dest_p.val,Dest_Chao,Dest_Chao_p.val,wcFit,wcFit_p.val,wcFst,wcFst_p.val,wcFis,wcFis_p.val
1,BD (19) v. BE (19),BD,BE,19,19,24651.9571276296,0.001,0.306000373557617,0.807,0.238999264675685,1,0.2511240131716,1,0.263248761667516,0.001,0.0121247484959153,0.001,0.0242494969918306,0.001,0.0482819159457686,0.001,0.0921162813387051,0.001,-0.28034023022142,1,0.0512068865117821,0.001,0.121046244849485,0.001,0.0318652740611298,0.001,0.0462954901942608,0.001,-0.162845124555714,0.001,0.0917504463649533,0.001,-0.280314556612454,1
2,BD (19) v. BN (24),BD,BN,19,24,23767.7971218046,0.001,0.308439253091549,0.691,0.245575733085873,1,0.255593432120592,0.924,0.265611131155311,0.001,0.010017699034719,0.001,0.020035398069438,0.001,0.0391938828459119,0.001,0.0754313193964854,0.001,-0.255984250625014,1,0.0417092616699039,0.001,0.0999852771240078,0.001,0.026557202555785,0.001,0.0384414555653255,0.001,-0.161662244006937,0.001,0.0748639127528384,0.001,-0.255666339277267,1
3,BD (19) v. BS (25),BD,BS,19,25,22562.9977657075,0.001,0.307223292354307,0.59,0.245782868666659,1,0.254668045863009,0.899,0.263553223059359,0.001,0.00888517719635007,0.001,0.0177703543927001,0.001,0.0348892503032343,0.001,0.0674260560596438,0.001,-0.249978462782839,1,0.037132388898761,0.001,0.0893987331478997,0.001,0.0235613242585525,0.001,0.0323977625840798,0.001,-0.165246047258281,0.001,0.0669956147983841,0.001,-0.248918081994309,1
4,BD (19) v. BW (8),BD,BW,19,8,16650.4387058193,0.001,0.298058005250525,0.934,0.231273013881917,1,0.24384067880942,0.998,0.256408343736924,0.001,0.0125676649275034,0.001,0.0251353298550067,0.001,0.0515404771216452,0.001,0.0980285176709994,0.001,-0.288771224310274,1,0.0544530169059468,0.001,0.127520588507012,0.001,0.0326973428914407,0.001,0.0573695130087604,0.001,-0.154802854337781,0.001,0.0948549283049159,0.001,-0.275820739072421,1
5,BD (19) v. CB (22),BD,CB,19,22,15327.6349338966,0.001,0.301058734076568,0.05,0.237358594682691,1,0.2430148366256,0.03,0.248671078568509,0.001,0.00565624194290892,0.001,0.0113124838858178,0.001,0.02327529471636,0.001,0.0454917554181969,0.001,-0.268370898804119,1,0.0246648926296257,0.001,0.059650256465251,0.001,0.0148332936121022,0.001,0.0189573679655911,0.001,-0.211364779104846,0.001,0.0455034827706991,0.001,-0.269113880709779,1
6,BD (19) v. CM (25),BD,CM,19,25,10024.5315500433,0.002,0.311622838172832,0.852,0.245365013162244,1,0.247853061393441,0.796,0.250341109624639,0.003,0.00248804823119744,0.001,0.00497609646239489,0.001,0.0100384002408908,0.001,0.019877264544589,0.001,-0.270037786384714,0.996,0.0106814671808583,0.001,0.0263402371892181,0.001,0.00659404420572502,0.001,0.0061732964107738,0.001,-0.246373703046313,0.001,0.0197080892424714,0.001,-0.271431182251792,1
7,BD (19) v. GM (23),BD,GM,19,23,8576.35986737244,0.001,0.311897802152334,0.959,0.245234322465949,1,0.246883000894436,0.785,0.248531679322924,0.001,0.00164867842848748,0.001,0.00329735685697496,0.001,0.00667797467834747,0.001,0.0132673503271614,0.001,-0.271835846695732,1,0.00710528565464496,0.001,0.0175781049961203,0.001,0.00436871595400044,0.001,0.00224796307742647,0.001,-0.256283396432441,0.001,0.0132251388671319,0.001,-0.273120593070403,1
8,BD (19) v. JE (13),BD,JE,19,13,6879.65321194538,0.01,0.303439903661914,0.785,0.239768940711233,0.995,0.241028426236399,0.892,0.242287911761565,0.17,0.00125948552516567,0.009,0.00251897105033133,0.009,0.00522546466751756,0.009,0.0103966022572775,0.009,-0.265551337724611,0.994,0.00554419573992948,0.009,0.0136755820881667,0.009,0.00331342822626578,0.009,-0.000514321986857524,0.008,-0.251258193667312,0.009,0.0102494918664685,0.009,-0.264215762846064,0.992
9,BD (19) v. JP (18),BD,JP,19,18,7017.2064068447,0.01,0.303698413899758,0.76,0.243784927293885,0.982,0.2446257383596,0.558,0.245466549425314,0.016,0.000840811065714736,0.017,0.00168162213142947,0.017,0.00343713245937655,0.017,0.00685071809322485,0.017,-0.245763703568298,0.981,0.00365431222068689,0.017,0.00905921918312149,0.017,0.00222373527336845,0.017,-0.00106389895853942,0.019,-0.237600081852666,0.017,0.00681921958753553,0.017,-0.246097494293733,0.984
10,BD (19) v. JS (12),BD,JS,19,12,6253.40634559929,0.033,0.308144365435657,0.335,0.240048813279856,0.982,0.241119670630622,0.848,0.242190527981388,0.288,0.00107085735076606,0.017,0.00214171470153213,0.017,0.00444118618761113,0.017,0.00884309852818321,0.017,-0.283673771285899,0.999,0.00471275108272747,0.017,0.0116364033410474,0.017,0.00281822666897265,0.017,-0.00164128048714196,0.017,-0.267007600741646,0.02,0.00853811257218482,0.02,-0.277918613723709,0.981
